index,city_state,count_crimes,lat,lng,population
"1","Abbeville, AL",2,31.5664,-85.2528,2560
"2","Abbeville, SC",3,34.1787,-82.3774,5019
"3","Aberdeen, MD",2,39.5146,-76.173,16019
"4","Aberdeen, SD",5,45.4646,-98.468,28257
"5","Aberdeen, WA",11,46.9757,-123.8094,29609
"6","Abilene, KS",3,38.9229,-97.2251,6390
"7","Abilene, TX",8,32.4543,-99.7384,123420
"8","Ada, OK",2,34.7683,-96.6689,17840
"9","Adamsville, AL",2,33.6063,-86.9745,4281
"10","Adamsville, TN",1,35.2563,-88.3862,2164
"11","Addison, IL",3,41.9314,-88.0085,36482
"12","Addison, TX",1,32.959,-96.8355,16263
"13","Adelanto, CA",9,34.5815,-117.4397,34049
"14","Adrian, MI",10,41.8994,-84.0446,43689
"15","Agawam, MA",5,42.0657,-72.6526,28613
"16","Agoura Hills, CA",8,34.151,-118.7608,20222
"17","Aiken, SC",2,33.531,-81.7268,30869
"18","Airway Heights, WA",1,47.646,-117.5792,9485
"19","Akron, OH",81,41.0798,-81.5219,565208
"20","Alabaster, AL",1,33.2198,-86.8225,33487
"21","Alameda, CA",29,37.767,-122.2672,77624
"22","Alamo, TN",1,35.783,-89.1168,2277
"23","Alamosa, CO",2,37.4751,-105.8769,10652
"24","Albany, CA",10,37.8898,-122.3018,19696
"25","Albany, KY",1,36.6906,-85.1353,2002
"26","Albany, NY",46,42.6664,-73.7987,586383
"27","Albany, OH",1,39.2245,-82.1977,891
"28","Albany, OR",5,44.6274,-123.0966,62880
"29","Albemarle, NC",4,35.3594,-80.1915,17185
"30","Albert Lea, MN",1,43.6547,-93.3642,17656
"31","Albion, MI",11,42.2478,-84.7572,8990
"32","Albuquerque, NM",158,35.1053,-106.6464,761195
"33","Alcoa, TN",13,35.8073,-83.9752,9980
"34","Alexandria, KY",5,38.9621,-84.386,9715
"35","Alexandria, MN",1,45.8777,-95.3766,21204
"36","Alexandria, TN",3,36.0791,-86.0381,1012
"37","Alexandria, VA",18,38.8185,-77.0861,159428
"38","Algoma, WI",2,44.6057,-87.4465,3048
"39","Algona, WA",1,47.2819,-122.2504,3208
"40","Algonac, MI",1,42.6208,-82.534,4037
"41","Algonquin, IL",3,42.1629,-88.3159,30897
"42","Algood, TN",1,36.1999,-85.4467,4463
"43","Alhambra, CA",7,34.084,-118.1355,83750
"44","Aliso Viejo, CA",4,33.5792,-117.7289,50887
"45","Allegan, MI",2,42.5299,-85.8462,6350
"46","Allen Park, MI",2,42.2595,-83.2107,26940
"47","Allen, TX",3,33.1088,-96.6735,105623
"48","Allendale, NJ",2,41.0333,-74.1333,6734
"49","Allendale, SC",1,33.008,-81.3092,2924
"50","Allenhurst, NJ",2,40.2362,-74.0017,483
"51","Allentown, PA",1,40.5961,-75.4756,683794
"52","Alliance, OH",3,40.9107,-81.1189,31255
"53","Alma, MI",1,43.38,-84.6556,16035
"54","Alpena, MI",7,45.074,-83.4399,13541
"55","Alpine, NJ",1,40.9615,-73.9199,1844
"56","Altamont, IL",1,39.057,-88.7474,2339
"57","Altavista, VA",2,37.1232,-79.2858,4603
"58","Alton, IL",1,38.9034,-90.1523,78905
"59","Altoona, IA",3,41.6481,-93.4784,19221
"60","Altus, OK",1,34.6566,-99.3051,18418
"61","Alvin, TX",2,29.3871,-95.2933,26723
"62","Amarillo, TX",1,35.1988,-101.8311,205603
"63","Ambler, PA",1,40.1564,-75.2215,6491
"64","Amelia, OH",2,39.0229,-84.2184,5039
"65","American Canyon, CA",1,38.1796,-122.2583,20475
"66","Ames, IA",4,42.0259,-93.6215,67910
"67","Amesbury, MA",6,42.853,-70.9446,17532
"68","Amherst, MA",15,42.3645,-72.5069,39814
"69","Anacortes, WA",4,48.4878,-122.6292,18563
"70","Anadarko, OK",1,35.0652,-98.2441,6504
"71","Anaheim, CA",11,33.839,-117.8572,350365
"72","Anchorage, AK",46,61.1508,-149.1091,288000
"73","Anchorage, KY",3,38.2689,-85.5363,2423
"74","Anderson, CA",1,40.4497,-122.295,10630
"75","Anderson, IN",2,40.0891,-85.6893,85992
"76","Anderson, SC",3,34.5211,-82.6479,78512
"77","Andover, KS",8,37.6869,-97.1354,13405
"78","Andrews, SC",18,33.4494,-79.566,3900
"79","Ann Arbor, MI",67,42.2755,-83.7312,322267
"80","Annapolis, MD",3,38.9706,-76.5047,39223
"81","Anthony, TX",1,31.9876,-106.5933,5352
"82","Antioch, CA",36,37.9789,-121.7958,302419
"83","Apache Junction, AZ",16,33.3985,-111.5351,42571
"84","Apache, OK",2,34.8938,-98.3581,1393
"85","Apex, NC",9,35.7239,-78.8728,59300
"86","Apopka, FL",1,28.7014,-81.5304,53447
"87","Apple Valley, CA",8,34.5328,-117.2104,73453
"88","Apple Valley, MN",2,44.7457,-93.2006,55135
"89","Appleton, WI",26,44.2779,-88.3891,220570
"90","Arcadia, CA",1,34.1342,-118.0373,57939
"91","Arcadia, FL",1,27.2213,-81.8587,19038
"92","Arcata, CA",9,40.8615,-124.0757,34616
"93","Archdale, NC",1,35.9033,-79.9592,11513
"94","Ardmore, TN",1,35.0031,-86.8547,1221
"95","Arkansas City, KS",2,37.0726,-97.0385,12242
"96","Arlington Heights, IL",2,42.0955,-87.9825,74760
"97","Arlington, TX",29,32.6998,-97.125,398854
"98","Arlington, WA",3,48.1698,-122.1443,20523
"99","Arma, KS",1,37.543,-94.7024,1420
"100","Arroyo Grande, CA",1,35.1241,-120.5845,54177
"101","Artesia, CA",1,33.8676,-118.0806,16601
"102","Arvada, CO",8,39.8321,-105.1511,121272
"103","Arvin, CA",3,35.1944,-118.8306,22155
"104","Asbury Park, NJ",14,40.2226,-74.0119,15408
"105","Asheboro, NC",2,35.7158,-79.8129,39192
"106","Asheville, NC",57,35.5704,-82.5536,312507
"107","Ashland City, TN",1,36.2607,-87.0412,4767
"108","Ashland, KY",19,38.4592,-82.6449,20146
"109","Ashland, OH",4,40.8668,-82.3156,20275
"110","Ashland, OR",11,42.1905,-122.6992,21281
